"city","tag","date","time","pit_notes"
985,153000406073,"2017-05-21","10:00:10",NULL
985,153000404867,"2017-05-20","14:14:52",NULL
985,153000363537,"2017-05-20","14:11:40",NULL
982,"000411818619","2017-05-20","11:56:07",NULL
982,"000411818451","2017-05-20","11:16:10",NULL
982,"000411818452","2017-05-20","10:57:27",NULL
982,"000411818530","2017-05-19","14:50:42",NULL
982,"000411818541","2017-05-19","14:25:29",NULL
985,153000407635,"2017-05-19","14:02:37",NULL
985,153000373608,"2017-05-19","13:46:45",NULL
986,112100163663,"2017-05-19","13:31:43",NULL
986,112100164868,"2017-05-19","13:28:27",NULL
985,153000406793,"2017-05-19","12:11:19",NULL
986,112100163663,"2017-05-19","12:01:50",NULL
985,153000351496,"2017-05-19","11:42:26",NULL
982,"000411818546","2017-05-19","11:37:46",NULL
986,112100175857,"2017-05-19","11:25:56",NULL
986,112100167213,"2017-06-09","09:02:37",NULL
985,153000352306,"2017-05-19","10:50:49",NULL
982,"000411818501","2017-05-18","15:42:13",NULL
986,112100172557,"2017-05-18","15:31:48",NULL
986,112100171955,"2017-05-18","15:27:40",NULL
982,"000411818488","2017-05-18","15:00:51",NULL
982,"000411818513","2017-05-18","14:42:09",NULL
982,"000411818519","2017-05-18","14:48:30",NULL
986,112100172132,"2017-05-18","14:34:10",NULL
986,112100173208,"2017-06-15","09:24:56",NULL
986,112100174060,"2017-05-18","14:28:55",NULL
982,"000411818511","2017-05-18","12:26:28",NULL
982,"000411818467","2017-05-18","12:11:28",NULL
985,153000402306,"2017-05-18","10:56:04",NULL
985,153000354533,"2017-06-05","14:10:17",NULL
985,153000402230,"2017-05-18","10:50:58",NULL
985,153000374351,"2017-05-16","10:39:42",NULL
985,153000375914,"2017-05-16","11:20:42",NULL
986,112100163296,"2017-05-16","10:23:16",NULL
982,"000411818460","2017-06-11","09:36:34",NULL
986,112100164287,"2017-05-16","10:09:56",NULL
986,112100164178,"2017-06-15","10:42:35",NULL
986,112100172635,"2017-06-10","14:40:11",NULL
982,"000411818487","2017-05-22","13:51:47",NULL
985,153000407635,"2017-05-15","14:43:57",NULL
982,"000411818449","2017-05-15","14:18:13",NULL
982,"000411818440","2017-05-15","13:56:30",NULL
982,"000411818479","2017-05-15","13:50:04",NULL
982,"000411818504","2017-05-15","13:22:44",NULL
982,"000411818439","2017-05-15","13:00:36",NULL
982,"000411818526","2017-05-15","12:41:08",NULL
982,"000411818517","2017-05-15","11:19:45",NULL
985,153000404867,"2017-05-15","11:14:04",NULL
982,"000411818536","2017-05-15","11:03:26",NULL
982,"000411818461","2017-05-14","11:56:26",NULL
982,"000411818551","2017-06-04","05:13:38",NULL
982,"000411818445","2017-05-14","11:51:55",NULL
982,"000411818531","2017-05-14","11:32:15",NULL
985,153000405091,"2017-05-14","11:27:29",NULL
982,"000411818496","2017-05-14","10:56:54",NULL
982,"000411818438","2017-05-14","10:30:30",NULL
982,"000411818481","2017-05-14","10:19:53",NULL
982,"000411818495","2017-05-13","15:00:25",NULL
982,"000411818520","2017-05-13","14:21:22",NULL
982,"000411818498","2017-05-13","12:12:44",NULL
982,"000411818505","2017-05-13","11:55:26",NULL
982,"000411818529","2017-05-13","11:42:49",NULL
982,"000411818485","2017-05-13","11:21:13",NULL
985,153000373270,"2017-05-12","09:36:30",NULL
985,153000375761,"2017-05-12","09:31:33",NULL
989,"001005126060","2017-03-08","23:55:17",NULL
989,"001003421100","2014-12-16","11:55:21",NULL
989,"001003421100","2014-12-16","10:29:03",NULL
986,112100177486,"2017-06-02","14:14:45",NULL
986,112100163284,"2017-06-02","14:10:30",NULL
982,"000411818694","2017-06-11","11:22:27",NULL
986,112100172314,"2017-06-02","14:06:13",NULL
986,112100165483,"2017-06-02","13:51:47",NULL
986,112100171932,"2017-06-02","13:45:38",NULL
985,153000370198,"2017-06-02","13:42:35",NULL
986,112100165160,"2017-06-02","13:30:32",NULL
