"pool_id","date",buffer,"size","vol_from_pippin","notes"
"Pool001","2014-02-05",NULL,"431-527","40","Was not dynabead cleaned"
"Pool002","2014-03-04",NULL,"431-527","40",""
"Pool003","2014-03-13",NULL,NULL,"",""
"Pool004","2014-03-18",NULL,NULL,"",""
"Pool005","2014-03-21",NULL,"431-527","40",""
"Pool006","2014-03-26",NULL,NULL,"40","after Pippin, quanitfied: 0.232"
"Pool007","2014-04-12",30,"763","40",""
"Pool008","2014-07-17",30,"526-626","40",""
"Pool009","2014-07-17",30,"526-626","40",""
"Pool010","2014-07-17",30,"526-626","40",""
"Pool011","2014-07-17",30,"526-626","40",""
"Pool012","2014-07-20",30,"375","40","after Pippin, quanitfied: 0.84"
"Pool013","2014-07-20",30,"375","40","after Pippin, quanitfied: 0.24"
"Pool014","2014-07-20",30,"375","40","after Pippin, quanitfied: 0.16"
"Pool015","2014-07-20",30,"375","40","after Pippin, quanitfied: 0.30"
"Pool016","2014-12-09",30,"375","40",""
"Pool017","2015-04-06",30,"375","40",""
"Pool018","2015-04-05",30,"375","40",""
"Pool019","2014-12-09",30,"375","40",""
"Pool020","2014-12-09",30,"375","40",""
"Pool021","2014-12-09",30,"375","40",""
"Pool022","2014-12-09",30,"375","40",""
"Pool023","2014-12-09",30,"375","40",""
"Pool024","2014-12-09",30,"375","40",""
"Pool025","2014-12-09",30,"375","40",""
"Pool026","2014-12-09",30,"375","40",""
"Pool027","2014-12-09",30,"375","40",""
"Pool028","2015-04-06",30,"273","40",""
"Pool029","2015-04-06",30,"273","40",""
"Pool030","2015-04-23",30,"375","40",""
"Pool031","2015-04-23",30,"375","40",""
"Pool032","2015-04-23",30,"375","40",""
"Pool033","2015-04-23",30,"375","40",""
"Pool034","2015-09-03",30,"273","40",""
"Pool035","2015-09-03",30,"273","40",""
"Pool036","2015-09-03",30,"273","40",""
"Pool037","2015-09-03",30,"273","40",""
"Pool038","2015-09-05",30,"273","40",""
"Pool039","2015-07-07",40,"375","40","2015-07-07: eluted into 40킠 instead of 30킠 before Pippin"
"Pool040","2015-07-07",40,"375","40","2015-07-07: eluted into 40킠 instead of 30킠 before Pippin"
"Pool041","2015-07-07",40,"375","40","2015-07-07: eluted into 40킠 instead of 30킠 before Pippin"
"Pool042","2015-07-07",40,"375","40","2015-07-07: eluted into 40킠 instead of 30킠 before Pippin"
"Pool043","2015-11-28",30,"273","40",""
"Pool044","2015-11-28",30,"273","40",""
"Pool045","2015-11-28",30,"273","40",""
"Pool046","2015-11-28",30,"273","40",""
"Pool047","2015-11-28",30,"273","40",""
"Pool048","2016-02-01",30,"273","40",""
"Pool049","2016-02-01",30,"273","40",""
"Pool050","2016-02-01",30,"273","40",""
"Pool051","2016-02-01",30,"273","40",""
"Pool052","2016-02-01",30,"273","40",""
"Pool053","2015-12-14",30,"375","40",""
"Pool054","2015-12-14",30,"375","40",""
"Pool055","2015-12-14",30,"375","40",""
"Pool056","2015-12-14",30,"375","40",""
"Pool057","2015-12-14",30,"375","40",""
"Pool058","2015-12-14",30,"375","40",""
"Pool059","2015-12-14",30,"375","40",""
"Pool060","2015-12-14",30,"375","40",""
"Pool061","2016-04-19",40,"375","40","2016-04-19: eluted into 40킠 instead of 30킠 before Pippin, only took 30킠 to use for Pippin"
"Pool062","2016-04-19",40,"375","40","2016-04-19: eluted into 40킠 instead of 30킠 before Pippin, only took 30킠 to use for Pippin"
"Pool063","2016-04-19",40,"375","40","2016-04-19: eluted into 40킠 instead of 30킠 before Pippin, only took 30킠 to use for Pippin"
"Pool064","2016-04-19",40,"375","40","2016-04-19: eluted into 40킠 instead of 30킠 before Pippin, only took 30킠 to use for Pippin"
"Pool065","2016-04-28",30,"375","40",""
"Pool066","2016-04-28",30,"375","40",""
"Pool067","2016-04-28",30,"375","40",""
"Pool068","2016-04-28",30,"375","40",""
"Pool069","2016-09-22",30,"375","40","Had trouble with pippin cassette, this pool was \"rescued\" and put through the cassete more than once"
"Pool070","2016-09-22",30,"375","40","Had trouble with pippin cassette, this pool was \"rescued\" and put through the cassete more than once"
"Pool071","2016-09-22",30,"375","40","Was put through a single lane of a used pippin cassette"
"Pool072","2016-09-22",30,"375","40","Was put through a single lane of a used pippin cassette"
"Pool073","2018-08-22",30,"375","40",NULL
"Pool074","2018-08-22",30,"375","40",NULL
"Pool075","2018-08-22",30,"375","40",NULL
"Pool076","2018-08-22",30,"375","40",NULL
"Pool077","2018-08-22",30,"375","40",NULL
"Pool078","2018-08-22",30,"375","40",NULL
"Pool083","2018-08-22",30,"375","40",NULL
"Pool084","2018-08-22",30,"375","40",NULL
"Pool085","2018-08-22",30,"375","40",NULL
"Pool086","2018-08-22",30,"375","40",NULL
"Pool087","2018-08-22",30,"375","40",NULL
"Pool088","2018-08-22",30,"375","40",NULL
"Pool089","2018-08-22",30,"375","40","not sequenced"
"Pool090","2018-08-22",30,"375","40","not sequenced"
"Pool091","2018-08-22",30,"375","40",NULL
"Pool092","2018-08-22",30,"375","40",NULL
"Pool093","2018-08-22",30,"375","40",NULL
"Pool094","2018-08-22",30,"375","40",NULL
"Pool095","2018-08-22",30,"375","40",NULL
"Pool096","2018-08-22",30,"375","40",NULL
"Pool097","2018-08-22",30,"375","40",NULL
"Pool098","2018-08-22",30,"375","40",NULL
"Pool099","2018-08-22",30,"375","40",NULL
"Pool100","2018-08-22",30,"375","40",NULL
"Pool101","2018-08-22",30,"375","40",NULL
"Pool102","2018-08-22",30,"375","40",NULL
"Pool103","2018-08-22",30,"375","40",NULL
"Pool104","2018-08-22",30,"375","40",NULL
"Pool105","2018-08-22",30,"375","40",NULL
"Pool106","2018-08-22",30,"375","40",NULL
"Pool107","2018-08-22",30,"375","40",NULL
"Pool108","2018-08-22",30,"375","40",NULL
"Pool109","2018-08-22",30,"375","40",NULL
"Pool110","2018-08-22",30,"375","40",NULL
"Pool111","2018-08-22",30,"375","40",NULL
"Pool112","2018-08-22",30,"375","40",NULL
"Pool113","2018-08-22",30,"375","40",NULL
"Pool114","2018-08-22",30,"375","40",NULL
"Pool115","2018-08-22",30,"375","40",NULL
"Pool116","2018-08-22",30,"375","40",NULL
"Pool117","2018-08-22",30,"375","40",NULL
"Pool118","2018-08-22",30,"375","40",NULL
"Pool119","2018-08-22",30,"375","40",NULL
"Pool120","2018-08-22",30,"375","40",NULL
"Pool121","2018-08-22",30,"375","40",NULL
"Pool122","2018-08-22",30,"375","40",NULL
"Pool123","2018-08-22",30,"375","40",NULL
"Pool124","2018-08-22",30,"375","40",NULL
"Pool125","2018-08-22",30,"375","40",NULL
"Pool126","2018-08-22",30,"375","40",NULL
"Pool127","2018-08-22",30,"375","40",NULL
"Pool128","2018-08-22",30,"375","40",NULL
